Slice ID,Slice Type,Slice Bandwidth (Mbps),Latency (ms),Packet Loss Rate (%),Data Rate (Mbps),Traffic Load,Signal Strength,Network Congestion,Transmission Path,Security Mechanism,Attack Type,Security Status,Attack Detection Time (ms),IGJO-SVM Prediction,Adjustment Action,Throughput (Mbps),Energy Efficiency (J/bit),Packet Delivery Ratio (%),End-to-End Delay (ms),Accuracy of Security (%)
467,Autonomous,795,17,0.02629782397959633,707,Low,Moderate,Medium,Path C,Encryption,DDoS,No,67,0.4789705614534714,Increase Security,549.6214264664097,0.016586810500292204,93.42598771218121,26,90.63319246972321
215,IoT,701,18,0.0918479755193916,381,High,Weak,High,Path C,IDS,DDoS,Yes,76,0.3563666377550566,Alert Admin,1283.6944198495798,0.02526484176706416,90.51720882554652,10,96.6972300783115
331,Autonomous,681,11,0.1025309506290106,570,High,Moderate,Medium,Path C,Encryption,Eavesdropping,Yes,100,0.16277610102536874,Increase Security,602.1922436897406,0.029522406250786518,92.92835622460258,14,98.42719123539469
459,IoT,1457,16,0.12341330322356026,1135,Medium,Weak,Low,Path C,Encryption,DDoS,Yes,61,0.5885860973492543,Alert Admin,921.1017386517246,0.02770356093297835,97.83702988760977,15,91.1050135122769
88,Autonomous,631,20,0.05396414402564287,303,High,Weak,High,Path C,Encryption,Eavesdropping,No,68,0.03364972339902661,Increase Security,824.2111792989383,0.04435005036763568,98.46348779866423,24,91.63641841327923
373,Ultra-High-Speed,558,13,0.10813969532898207,106,Medium,Moderate,High,Path A,IDS,Spoofing,Yes,79,0.9654106993686116,Optimize Path,1119.1482120049363,0.019238653928641263,91.02832816064158,11,92.16757711321985
100,Autonomous,642,16,0.06563855072186231,267,Low,Weak,Low,Path A,IDS,DDoS,Yes,52,0.8975286223768645,Alert Admin,464.4422916051596,0.03307638141291005,91.00031671067154,22,90.78782071003914
872,IoT,894,12,0.17971212093496788,783,Medium,Moderate,Low,Path C,IDS,Spoofing,Yes,89,0.944229579364256,Increase Security,592.7619225600092,0.021704509096938614,97.48089365703127,12,98.76988830973986
664,IoT,669,18,0.08966381107388444,505,High,Weak,High,Path C,IDS,Eavesdropping,Yes,90,0.1441678158180495,Optimize Path,1438.191214056469,0.013347239529907892,96.53271565832745,11,97.75973908749887
131,Ultra-High-Speed,1777,19,0.16838671335836175,1293,High,Weak,High,Path C,Firewall,Spoofing,No,49,0.10539693482914003,Increase Security,896.2319886339418,0.02028708544097709,99.38588858177296,25,90.13677651104643
662,Autonomous,1237,7,0.012491518723814288,1066,Medium,Weak,Low,Path C,Firewall,Eavesdropping,Yes,45,0.5255793740622418,Optimize Path,346.17465335646017,0.037598760485669,91.89017067334555,19,96.53789650836724
309,Ultra-High-Speed,812,14,0.06958828231643333,622,Medium,Moderate,Low,Path A,IDS,DDoS,Yes,42,0.13929668940710085,Increase Security,1443.9788381342114,0.034008744442478776,90.37997837304742,23,93.5071850945425
770,Ultra-High-Speed,1540,6,0.16854238043211098,1061,Medium,Weak,Low,Path C,Firewall,Spoofing,Yes,42,0.3408830154923571,Optimize Path,1432.6409509472198,0.03494503789189057,98.10665773483512,11,99.51090679567076
344,Autonomous,1414,8,0.1341464623811668,932,Medium,Strong,High,Path C,Encryption,Eavesdropping,Yes,99,0.4066058530460957,Increase Security,796.8207219346822,0.038415505897531926,95.09002183536738,16,98.62017716130016
492,IoT,838,10,0.15023560956168364,485,Low,Weak,Medium,Path A,Firewall,DDoS,Yes,90,0.998899287046172,Optimize Path,1250.668559314876,0.033591184031123135,94.63829731816631,15,95.37357749226877
414,IoT,1230,19,0.17850465799096926,897,High,Strong,Medium,Path B,Firewall,Eavesdropping,Yes,59,0.8232686531147722,Optimize Path,862.0965338036397,0.0198124199194392,99.89867484037892,14,97.55453809325256
806,Ultra-High-Speed,538,17,0.15351352570358368,150,High,Strong,Low,Path B,Encryption,Eavesdropping,No,22,0.09658868249453224,Alert Admin,572.2619424322434,0.04621957909965303,90.51662175828992,21,91.95030231789154
386,IoT,1801,5,0.13356093664528132,1679,High,Strong,Low,Path B,Encryption,Eavesdropping,Yes,96,0.9993162681897128,Optimize Path,904.3343684349463,0.046069667041625684,95.35073749779215,23,92.88829429919608
192,IoT,550,19,0.17012321156822754,420,Low,Strong,Medium,Path B,Encryption,Spoofing,Yes,89,0.3239792747100996,Optimize Path,775.0756830378241,0.038705823453709716,95.64441841653813,20,92.79060277179936
956,IoT,1470,19,0.1042919277442944,1243,High,Moderate,Low,Path B,Encryption,Spoofing,Yes,67,0.6329338804710447,Alert Admin,492.8658911953177,0.04159648006811382,96.11214331198829,10,97.78892645102572
277,Ultra-High-Speed,1947,9,0.1335839997607254,1774,Low,Moderate,Low,Path B,Firewall,Eavesdropping,Yes,51,0.1010885941742149,Optimize Path,1237.3837046826845,0.010808700805911895,94.73783362307822,11,90.3598982886867
161,Ultra-High-Speed,1371,13,0.09751423873467686,998,Low,Strong,Medium,Path A,IDS,Spoofing,Yes,61,0.4363014238330176,Optimize Path,1280.851719553886,0.04324508866870983,94.47891344844463,13,90.09242314581077
460,Autonomous,864,11,0.022767678695320284,772,Medium,Strong,Medium,Path A,IDS,DDoS,Yes,80,0.4077392161915949,Increase Security,649.0953628050803,0.014585597743428273,91.12607149039313,11,98.29446639761663
314,IoT,1260,20,0.07047498932193089,996,Low,Weak,Medium,Path B,Firewall,DDoS,Yes,29,0.9269884748177952,Increase Security,1005.7510786345233,0.04621874768549663,98.90314456213652,16,97.69231203541435
22,Autonomous,693,14,0.16355706597138905,366,Low,Weak,Medium,Path B,Encryption,Spoofing,Yes,36,0.9809863027986832,Optimize Path,743.8895234704326,0.013195747511654437,93.97957277295771,11,90.8998555634962
253,Ultra-High-Speed,1884,10,0.10660577344922802,1755,Low,Moderate,Low,Path A,IDS,Spoofing,Yes,99,0.05304588119702836,Alert Admin,330.76637898058675,0.039843286262915716,93.48994935301913,24,98.38149165376358
748,IoT,1849,18,0.054281876089342866,1488,Low,Moderate,Medium,Path A,Firewall,DDoS,Yes,80,0.06289262245248682,Alert Admin,1066.9436193690517,0.041431286015750184,96.4924273283797,27,97.73392224628773
857,IoT,1233,16,0.1614311074729765,919,High,Weak,Low,Path C,IDS,DDoS,Yes,77,0.4898280605467225,Alert Admin,1340.636880523613,0.032777307323794184,96.9823298981313,16,93.61590266420308
561,Ultra-High-Speed,1693,13,0.09080032423922298,1515,High,Weak,Medium,Path B,IDS,Spoofing,Yes,23,0.7078806952365353,Optimize Path,455.36484915452246,0.01031038593349698,92.67344712158855,10,99.58743296908438
475,IoT,630,9,0.06187454357255642,356,Low,Weak,Medium,Path B,Firewall,DDoS,Yes,69,0.9311204519433508,Optimize Path,513.0924141645934,0.025322627043431148,93.41202072392151,23,97.29235509468359
59,Ultra-High-Speed,1276,13,0.0735881502604169,859,High,Strong,High,Path C,Firewall,Eavesdropping,Yes,78,0.040595985302373405,Alert Admin,967.5280255880327,0.04337894973850514,90.04127154674605,25,97.96580940015149
511,Ultra-High-Speed,749,8,0.028427424758691533,491,Medium,Strong,High,Path B,IDS,Eavesdropping,Yes,40,0.4594957748644101,Optimize Path,1521.0251032798953,0.019112030228514248,95.27299133128794,19,90.92576067052099
682,IoT,1839,18,0.13536425977147912,1638,Medium,Weak,Medium,Path A,IDS,DDoS,Yes,96,0.7163544828740871,Increase Security,538.9245560241877,0.048127101530525566,98.6113024304478,24,91.14114757186779
476,Autonomous,1752,6,0.16475807684425894,1337,Medium,Strong,Medium,Path B,Encryption,DDoS,Yes,51,0.9610209357652132,Optimize Path,1357.19375419828,0.044864673853154007,96.61917730157928,23,96.90552640399643
700,IoT,715,17,0.08142129782512553,281,High,Moderate,High,Path A,Firewall,Eavesdropping,Yes,74,0.3993261463915103,Alert Admin,951.1066227239706,0.029818367716117775,90.59526196871822,15,91.29096349859634
976,Autonomous,1875,14,0.06433399793190972,1788,Medium,Moderate,Medium,Path C,Encryption,Eavesdropping,Yes,78,0.4965498136018313,Optimize Path,737.3651543636479,0.03682653264008398,91.49636721508926,25,93.3276371533568
783,IoT,1186,18,0.14077141832686624,933,High,Moderate,High,Path B,Encryption,DDoS,Yes,91,0.6077091118319272,Increase Security,1705.0318900007242,0.024367736095567263,93.94604951661242,17,98.58649578902632
190,Ultra-High-Speed,1901,10,0.04506338599024702,1726,Medium,Moderate,High,Path A,IDS,Eavesdropping,Yes,38,0.160603146429649,Alert Admin,1462.7861539408584,0.047485798672604884,94.37078082757476,19,91.28135040250523
958,Autonomous,1513,14,0.1514620414268878,1074,High,Strong,Medium,Path A,Firewall,DDoS,Yes,70,0.5081637904581747,Optimize Path,1059.3465541363203,0.021619264224357747,91.95698539303041,17,95.13966512522646
687,Ultra-High-Speed,1637,13,0.16682891940013514,1299,Low,Strong,Low,Path C,Encryption,Eavesdropping,Yes,99,0.15382592450741095,Optimize Path,1424.9804765699628,0.03427689120906162,96.1312197374156,11,99.8759577451328
958,Autonomous,1513,14,0.1514620414268878,1074,High,Strong,Medium,Path A,Firewall,DDoS,Yes,70,0.5081637904581747,Optimize Path,1059.3465541363203,0.021619264224357747,91.95698539303041,17,95.13966512522646
563,Autonomous,913,20,0.02811059351567216,861,Medium,Strong,High,Path B,IDS,Eavesdropping,Yes,82,0.19693348744087025,Optimize Path,529.1256475014249,0.01771207610665837,99.85971943950344,11,98.7336943964942
876,Ultra-High-Speed,773,5,0.07960105859090058,279,High,Strong,Low,Path C,Encryption,Eavesdropping,Yes,41,0.17802032429227033,Increase Security,1089.9633952877964,0.04939751475883454,91.86563859634659,27,93.99858695137216
567,Autonomous,1797,16,0.19280348142354048,1363,High,Strong,High,Path A,Encryption,Eavesdropping,Yes,81,0.21336306803297125,Optimize Path,1661.835900619249,0.04269993026102667,92.520986595623,25,91.56507899080455
244,IoT,1502,19,0.040753291825537816,1170,Medium,Strong,Low,Path B,IDS,Spoofing,Yes,37,0.26624569939400344,Alert Admin,353.6225916987969,0.018379448908783992,97.22762032839695,24,95.52946893577892
832,IoT,1685,6,0.0535185353455943,1512,High,Strong,High,Path C,IDS,Spoofing,Yes,89,0.7947977548207765,Alert Admin,856.0659855566762,0.013595131204025522,91.36965123809294,13,90.13604395450669
505,Autonomous,1277,12,0.174739718693269,907,Medium,Weak,Medium,Path B,Encryption,Spoofing,Yes,59,0.29315594225330177,Alert Admin,1054.8425180791764,0.04192884726352054,93.70003540575031,13,98.3248947441945
131,Ultra-High-Speed,1777,19,0.16838671335836175,1293,High,Weak,High,Path C,Firewall,Spoofing,No,49,0.10539693482914003,Increase Security,896.2319886339418,0.02028708544097709,99.38588858177296,25,90.13677651104643
485,Autonomous,1316,11,0.13731798269852136,949,Low,Moderate,Medium,Path A,IDS,DDoS,Yes,41,0.03426112279350435,Increase Security,460.3250626305471,0.02095487278821484,92.52679627739349,16,93.08843809142459
819,Ultra-High-Speed,1905,7,0.1303279520954553,1734,High,Moderate,Low,Path A,Firewall,Spoofing,Yes,54,0.16159795595802118,Increase Security,983.8739055331706,0.012351840661785485,96.3961673243206,11,92.14871173849134
647,Autonomous,659,18,0.0984650960002364,525,High,Strong,High,Path B,IDS,Eavesdropping,Yes,99,0.308785658352586,Increase Security,1270.420062505958,0.03960143779936708,97.92844533837122,26,90.04481693325529
21,Autonomous,1964,7,0.1451959819970591,1514,Low,Moderate,Medium,Path A,IDS,Spoofing,No,76,0.8108281133622709,Optimize Path,576.0615522321701,0.04276922307360409,95.60379860136769,18,90.2596101835392
841,IoT,929,8,0.08085794945097383,566,Low,Strong,Low,Path C,Firewall,DDoS,Yes,66,0.041499304385711484,Increase Security,1293.2788285677502,0.025009645299876596,94.56980359628004,16,97.46266061332204
167,IoT,845,6,0.08221912052014131,391,High,Moderate,High,Path B,Encryption,Eavesdropping,Yes,70,0.3480269631887193,Alert Admin,1288.8668055763076,0.04195087316458514,98.76847774154112,12,94.8833814399532
274,IoT,2000,14,0.1934253230518341,1772,Medium,Weak,Medium,Path A,Encryption,DDoS,Yes,97,0.5326856807138157,Alert Admin,1003.9544945400107,0.04767897728574362,99.6085557678478,22,95.57948741434478
388,IoT,993,17,0.17846049962793045,896,Low,Strong,Low,Path C,Firewall,Spoofing,No,24,0.32880180457845365,Increase Security,317.6476415504965,0.04809805052585541,95.95807532389969,18,95.23974202685714
601,Autonomous,1316,6,0.06848959576694268,965,Medium,Weak,High,Path C,Firewall,Eavesdropping,Yes,51,0.3415260754213638,Increase Security,1497.7439454058695,0.018494826212099916,95.51330549692301,17,98.5562768153523
316,IoT,1752,19,0.09425743347963292,1488,Medium,Strong,Medium,Path C,Encryption,Spoofing,Yes,35,0.6908535043398134,Increase Security,863.9398644609956,0.0333533309050169,94.13416575173908,12,99.63953425388287
14,Ultra-High-Speed,503,19,0.035485753893941374,139,High,Strong,Low,Path C,Encryption,DDoS,Yes,73,0.11092023087480653,Alert Admin,1148.6273463368734,0.013231168554973746,92.16686643705393,27,94.71236687291649
242,Autonomous,784,9,0.1551223701850655,396,High,Moderate,Medium,Path A,Encryption,Spoofing,Yes,27,0.7127537547625842,Optimize Path,551.4323457608767,0.0362310920713672,91.85953445391027,18,92.92176803382046
777,Ultra-High-Speed,973,17,0.19281568329802165,876,Low,Weak,Low,Path C,Encryption,Eavesdropping,Yes,46,0.8036351471536934,Optimize Path,621.6873439862424,0.02078246773009838,93.45396662063595,13,90.40139388165409
346,Autonomous,1199,17,0.02219789384269621,973,High,Weak,Low,Path A,Encryption,Spoofing,Yes,29,0.1521746018819179,Alert Admin,1155.580988051296,0.011758865664858191,99.83215986653744,24,99.15691350051638
565,Ultra-High-Speed,1258,5,0.005507343973893098,967,High,Strong,High,Path A,IDS,DDoS,Yes,20,0.8320947360831149,Alert Admin,1262.6631066615166,0.049176794925514085,98.8653067070517,22,91.19100057609356
898,IoT,1833,7,0.11565967988407215,1566,High,Weak,High,Path C,IDS,DDoS,Yes,69,0.8540163336687865,Alert Admin,1246.169599657398,0.035362020332268776,95.45703016032948,28,95.66667453750163
340,IoT,650,8,0.15768946865065975,283,Medium,Strong,Low,Path A,IDS,Eavesdropping,No,49,0.6219144212838782,Alert Admin,550.7937818209025,0.01913323346373242,95.81339216932298,16,90.7748729013575
92,Autonomous,901,16,0.01171018584879584,598,Medium,Strong,Low,Path A,Firewall,DDoS,Yes,33,0.2257630748750281,Optimize Path,651.0422629603119,0.04411824454694995,99.13814798336212,24,96.56822306514209
367,IoT,1887,6,0.060950219077226676,1608,High,Strong,Medium,Path A,Firewall,Spoofing,Yes,54,0.5630129431716631,Increase Security,1499.3679661530045,0.017469851383893075,94.73094538099377,17,90.19304416717868
956,IoT,1470,19,0.1042919277442944,1243,High,Moderate,Low,Path B,Encryption,Spoofing,Yes,67,0.6329338804710447,Alert Admin,492.8658911953177,0.04159648006811382,96.11214331198829,10,97.78892645102572
455,Autonomous,1250,20,0.05869776464162432,791,High,Moderate,Medium,Path C,Firewall,Spoofing,No,28,0.5534902701988239,Optimize Path,1733.4320696720342,0.019276044870756598,91.40323519767826,19,92.96706289169902
428,Autonomous,1519,8,0.14871878323531196,1233,Medium,Weak,Medium,Path B,IDS,DDoS,Yes,87,0.7590280480512028,Alert Admin,1767.4042289984823,0.010447972210228165,98.91229441031469,29,93.25979043768812
509,IoT,1480,13,0.013288768871154976,1167,Low,Strong,Low,Path C,Firewall,Eavesdropping,Yes,65,0.9135109668312412,Alert Admin,567.5973778928716,0.03977214869349464,90.63923164191941,28,90.15414958448409
776,IoT,521,20,0.07546361079263858,88,High,Weak,High,Path B,Firewall,Eavesdropping,Yes,50,0.7751609285289369,Increase Security,1717.6762610138194,0.03909169908958274,99.91926618308109,10,97.06911015098991
943,IoT,1607,6,0.1962287463583644,1393,High,Weak,High,Path C,Firewall,Spoofing,Yes,29,0.6896080190004079,Alert Admin,1266.5485507388514,0.04861942628031736,92.87353661741994,10,95.557035407203
35,Ultra-High-Speed,724,12,0.1522243074086316,599,Medium,Weak,Low,Path B,Firewall,DDoS,Yes,63,0.3418656017623504,Alert Admin,523.1824257737293,0.04159472429518972,96.81172550439504,27,91.79353359264552
206,Ultra-High-Speed,1524,14,0.1699950742961324,1426,High,Strong,High,Path C,IDS,DDoS,Yes,56,0.06453588384467622,Optimize Path,755.581430386783,0.0118220062386141,99.57819323813258,26,90.72272012255236
81,Ultra-High-Speed,1688,19,0.01297071889659367,1316,Low,Moderate,Low,Path B,Encryption,Spoofing,Yes,48,0.0627221714144588,Increase Security,1067.154609452381,0.01890084176709786,95.4915569079024,23,93.18132531333492
932,Ultra-High-Speed,1893,20,0.009995805731935748,1565,Low,Strong,High,Path B,Encryption,Eavesdropping,Yes,71,0.3977289756227224,Optimize Path,445.4270889400721,0.025803053015527704,94.34984179170463,12,94.625339853783
562,IoT,1045,11,0.13765484715604742,685,High,Moderate,Low,Path C,Encryption,DDoS,No,57,0.7479236513114172,Optimize Path,1556.5936479339844,0.02901171906262033,96.45916526405514,28,92.77160613844194
872,IoT,894,12,0.17971212093496788,783,Medium,Moderate,Low,Path C,IDS,Spoofing,Yes,89,0.944229579364256,Increase Security,592.7619225600092,0.021704509096938614,97.48089365703127,12,98.76988830973986
388,IoT,993,17,0.17846049962793045,896,Low,Strong,Low,Path C,Firewall,Spoofing,No,24,0.32880180457845365,Increase Security,317.6476415504965,0.04809805052585541,95.95807532389969,18,95.23974202685714
2,Autonomous,1398,6,0.05718135784783202,1267,High,Strong,Medium,Path B,Encryption,DDoS,Yes,97,0.13518305417143006,Alert Admin,561.8759770145405,0.024744826099931547,96.29672651859887,23,90.01418220133915
390,Autonomous,1165,12,0.015793832438165727,883,Low,Weak,High,Path A,Firewall,Spoofing,Yes,33,0.2939613764102983,Optimize Path,1052.0947178929864,0.025073422440646632,95.611101087684,17,90.25982293725781
566,IoT,1664,20,0.10109102358209,1494,Medium,Strong,Medium,Path B,IDS,Eavesdropping,No,22,0.3612663884059896,Increase Security,1007.9060486329416,0.02857611625282584,95.62282502767523,27,90.80443200209335
106,Ultra-High-Speed,1002,16,0.19966950227858996,850,High,Strong,Medium,Path C,Encryption,Spoofing,Yes,99,0.8363842356312257,Alert Admin,390.6548174108461,0.036734428084695764,96.22593796562691,26,93.28103475841822
772,Autonomous,1417,9,0.15778649435520145,1311,Medium,Moderate,Medium,Path C,Firewall,DDoS,Yes,71,0.19203365236149614,Optimize Path,698.3162772048621,0.026026313937518128,97.46419232844104,20,96.71956140494913
822,Autonomous,1488,15,0.12896652080446278,1092,High,Moderate,Medium,Path B,Encryption,DDoS,Yes,95,0.9275035512965756,Optimize Path,664.9528919744507,0.03613955728232991,94.27203027281834,15,90.86678561150829
477,Autonomous,607,7,0.1910121022969978,489,High,Strong,Medium,Path B,IDS,DDoS,Yes,41,0.013076534174614851,Optimize Path,1657.6171916917215,0.02452514841958544,94.66999419533221,26,91.13961981358152
703,Autonomous,1691,20,0.02219961975826297,1210,High,Weak,High,Path C,Firewall,Eavesdropping,No,21,0.1746500654553681,Increase Security,1245.0107031697846,0.021043005442776416,99.67319172230593,14,93.5190505575866
402,IoT,540,19,0.01877145696467124,176,Low,Strong,High,Path C,Firewall,Eavesdropping,Yes,93,0.14503273374988845,Optimize Path,977.005087731146,0.02057971493389914,91.19250167681469,15,96.72648739432371
730,IoT,855,13,0.07156281682270978,789,Low,Moderate,High,Path C,Firewall,Eavesdropping,No,22,0.7349829716298955,Increase Security,1214.352800847696,0.015229389578314,94.38428892011179,22,99.35655129409544
556,IoT,1631,11,0.13542412794700187,1219,Low,Weak,Medium,Path B,Firewall,Eavesdropping,Yes,63,0.030775178259160093,Alert Admin,791.0650201730989,0.031203539876576963,94.65966748186136,11,94.58014624315945
162,Ultra-High-Speed,1049,11,0.006722720036656527,952,High,Strong,Low,Path B,Encryption,Spoofing,Yes,31,0.9623029831742766,Increase Security,1308.3512247009076,0.010619298365500612,93.0926887879219,22,93.12505456985205
202,IoT,919,18,0.0916601283057313,625,High,Moderate,Medium,Path A,IDS,DDoS,Yes,56,0.7667052379968149,Increase Security,1641.0819078058298,0.03129390911818515,93.23043584618604,19,99.85009747829444
958,Autonomous,1513,14,0.1514620414268878,1074,High,Strong,Medium,Path A,Firewall,DDoS,Yes,70,0.5081637904581747,Optimize Path,1059.3465541363203,0.021619264224357747,91.95698539303041,17,95.13966512522646
996,IoT,1231,16,0.11542451720766415,995,Low,Weak,Low,Path A,Firewall,Eavesdropping,Yes,52,0.4594833010501653,Increase Security,1059.7518015553878,0.047538482124986764,94.00699281243251,28,98.81249528322607
270,Autonomous,1169,9,0.01669281699787666,745,Medium,Weak,High,Path A,Encryption,DDoS,Yes,99,0.2037760341910637,Increase Security,1273.637610807822,0.04599933107514617,96.07971167598164,26,91.73125439165156
863,Ultra-High-Speed,1516,14,0.1035921055425158,1066,High,Strong,Low,Path C,IDS,DDoS,Yes,36,0.1115939247666672,Increase Security,846.2292286569083,0.03840580150386014,92.17799115116422,28,92.31151367562677
816,Autonomous,1545,20,0.12155042445054452,1436,Medium,Weak,High,Path C,IDS,Spoofing,No,52,0.5591858799798484,Optimize Path,1397.4688558798318,0.02084711142844814,92.10420483741518,11,93.11971542432421
271,Autonomous,784,19,0.17648327368146774,621,Medium,Strong,Medium,Path B,Encryption,DDoS,No,57,0.7428988140984321,Alert Admin,1150.7446318700881,0.03752697746889054,91.0258456033102,23,90.4781106370248
456,Ultra-High-Speed,1671,9,0.18635074388656328,1219,Medium,Moderate,Medium,Path B,Encryption,DDoS,Yes,55,0.4963989216770842,Optimize Path,342.9467907534792,0.011867912715404523,95.87366779457486,21,95.62770070801531
462,Autonomous,700,15,0.10148238774356176,610,Low,Moderate,High,Path C,Firewall,DDoS,No,80,0.7679667578098052,Alert Admin,1608.6982848878085,0.011105273314237224,91.94629647203224,11,91.86909534827078
727,Autonomous,862,7,0.1280952084351688,620,Low,Strong,High,Path A,Firewall,Spoofing,Yes,56,0.14410396303296602,Alert Admin,1589.5931752533486,0.04491185300317772,90.75321432167404,17,96.73009100963051
252,Ultra-High-Speed,1607,8,0.18301801368140866,1354,Low,Strong,Medium,Path B,Encryption,Spoofing,Yes,78,0.7473158255728863,Optimize Path,1431.423499552824,0.02757213089311988,97.59997158330968,13,96.18596961501102
702,Ultra-High-Speed,835,16,0.06976410679389587,693,Low,Strong,Low,Path C,Firewall,Spoofing,Yes,48,0.3954800280316568,Optimize Path,1185.4486076333994,0.040175038220996384,91.30189349200802,11,92.7169461616926
296,IoT,1299,6,0.09423357978656294,1191,Low,Weak,Medium,Path B,Firewall,Eavesdropping,Yes,75,0.03558214579346264,Alert Admin,887.4998143182132,0.0404722101981981,92.31175883137394,22,90.78109688751155
725,Autonomous,1917,7,0.09528739726875833,1765,High,Strong,High,Path B,Encryption,DDoS,Yes,45,0.019522570697994124,Alert Admin,913.7156818764336,0.02344638659940396,93.87659900558799,10,98.2503891062336
720,Ultra-High-Speed,1325,6,0.16069654865937694,994,Medium,Strong,High,Path B,Firewall,Spoofing,Yes,63,0.1477463244379611,Increase Security,1643.4768456028778,0.011782265264706129,97.65063431365564,17,98.74881967442144
749,Autonomous,966,7,0.09933908456358932,596,Medium,Strong,High,Path A,IDS,Spoofing,Yes,73,0.6865865021144331,Optimize Path,1693.6145403852356,0.022854798229634814,90.81703959602228,16,90.52052398367307
338,IoT,829,19,0.17424089645261046,455,High,Moderate,Medium,Path B,IDS,Spoofing,Yes,88,0.5298952965539412,Increase Security,607.7742500927411,0.046618919502940614,90.12592612667495,22,91.19299580601812
879,Autonomous,1889,16,0.045647072698739834,1786,High,Strong,Medium,Path C,IDS,Eavesdropping,Yes,25,0.9303666579015296,Increase Security,1615.7323505567913,0.01022376623527478,90.91308877578159,18,94.52139055122448
53,IoT,512,16,0.0010459227085825474,221,Medium,Weak,Medium,Path C,Encryption,Spoofing,Yes,42,0.6603868382008886,Optimize Path,716.7493493469815,0.038671908667974826,98.23028308795764,17,94.99404561380243
792,Ultra-High-Speed,528,18,0.059610441727888624,430,Low,Weak,Medium,Path B,Firewall,DDoS,Yes,51,0.7597213286809253,Optimize Path,1147.2274709402955,0.021952122563330984,97.9376680702975,21,91.455677586525
922,IoT,1828,9,0.015247843594712897,1669,High,Weak,Medium,Path B,IDS,Eavesdropping,No,49,0.7043529564721301,Alert Admin,816.657432642765,0.035662811822603994,93.59231140621723,20,95.32351126517142
217,IoT,812,5,0.15725563987680666,731,High,Moderate,Low,Path C,Encryption,Spoofing,Yes,79,0.8507784903326605,Alert Admin,348.09527564181235,0.038737658989421664,90.7433087235358,20,92.57114663004144
764,IoT,1415,17,0.04936477384038045,941,Medium,Strong,Low,Path B,Encryption,Spoofing,Yes,87,0.7618872788907525,Increase Security,1413.6863463203351,0.04643007250952589,90.28857913336122,26,96.1305202586948
188,Ultra-High-Speed,1508,17,0.022819156977586675,1081,High,Weak,Medium,Path B,IDS,DDoS,Yes,44,0.27734676172462924,Optimize Path,1015.6946510935247,0.023854540124339768,95.09874056306404,29,94.63552223302686
380,Ultra-High-Speed,1020,11,0.05944756154172344,565,Medium,Weak,High,Path B,IDS,Spoofing,Yes,55,0.20208316500792367,Increase Security,1480.9887561860928,0.024045747622272483,91.04507562642723,14,94.18993685310232
